# Temperature [sim units], final average spin, convergence
1.000000000000000000e+00,9.995480987654319360e-01,1.000000000000000000e+00
1.100000000000000089e+00,9.979866913580246468e-01,1.000000000000000000e+00
1.200000000000000178e+00,9.973954814814813830e-01,1.000000000000000000e+00
1.300000000000000266e+00,9.941147160493827295e-01,1.000000000000000000e+00
1.400000000000000355e+00,9.916876790123456686e-01,1.000000000000000000e+00
1.500000000000000444e+00,9.858125432098766572e-01,1.000000000000000000e+00
1.600000000000000533e+00,9.816415308641975868e-01,1.000000000000000000e+00
1.700000000000000622e+00,9.672588641975308210e-01,1.000000000000000000e+00
1.800000000000000711e+00,9.480313827160493645e-01,1.000000000000000000e+00
1.900000000000000799e+00,9.310583703703706471e-01,1.000000000000000000e+00
2.000000000000000888e+00,9.166634074074075933e-01,1.000000000000000000e+00
2.100000000000000977e+00,8.575793827160492766e-01,1.000000000000000000e+00
2.200000000000001066e+00,8.139284444444444544e-01,1.000000000000000000e+00
2.300000000000001155e+00,6.969931111111110633e-01,1.000000000000000000e+00
2.400000000000001243e+00,-1.936618024691358353e-01,1.000000000000000000e+00
2.500000000000001332e+00,3.946747407407407704e-01,1.000000000000000000e+00
2.600000000000001421e+00,-8.830698765432098973e-02,1.000000000000000000e+00
2.700000000000001510e+00,-4.379760493827160317e-02,1.000000000000000000e+00
2.800000000000001599e+00,-3.500807407407408728e-02,1.000000000000000000e+00
2.900000000000001688e+00,6.398108641975308597e-02,1.000000000000000000e+00
3.000000000000001776e+00,-5.009414814814815153e-02,1.000000000000000000e+00
3.100000000000001865e+00,2.565148148148148691e-02,1.000000000000000000e+00
3.200000000000001954e+00,1.411792592592592266e-02,1.000000000000000000e+00
3.300000000000002043e+00,1.455958024691357891e-02,1.000000000000000000e+00
3.400000000000002132e+00,2.546158024691358782e-02,1.000000000000000000e+00
3.500000000000002220e+00,-4.705856790123456868e-02,1.000000000000000000e+00
3.600000000000002309e+00,5.058762962962962823e-02,1.000000000000000000e+00
3.700000000000002398e+00,-5.735851851851853089e-03,1.000000000000000000e+00
3.800000000000002487e+00,-2.902982716049382420e-02,1.000000000000000000e+00
3.900000000000002576e+00,-9.841925925925925842e-03,1.000000000000000000e+00
4.000000000000002665e+00,3.190293827160493867e-02,1.000000000000000000e+00
4.100000000000003197e+00,2.596928395061728206e-02,1.000000000000000000e+00
