# Abundance evolution pp-chain (t_eq = {t_eq} Gyr)
# time [Gyr], 1H, 2H, 3He, 4He
5.813414902386720000e+15,7.113956098171781983e-01,4.313048496709253445e-19,9.498299779695517722e-06,7.170548016255910706e-02
5.844950902386720000e+15,7.113768853057625963e-01,4.312934973762670835e-19,9.498049776715177539e-06,7.170922521484401901e-02
5.876486902386720000e+15,7.113581617799967782e-01,4.312821456791884361e-19,9.497799786894883326e-06,7.171297006999106938e-02
5.908022902386720000e+15,7.113394392398030286e-01,4.312707945796421206e-19,9.497549810233593231e-06,7.171671472801581515e-02
5.939558902386720000e+15,7.113207176851034097e-01,4.312594440775813851e-19,9.497299846730270488e-06,7.172045918893382721e-02
5.971094902386720000e+15,7.113019971158202059e-01,4.312480941729586592e-19,9.497049896383874938e-06,7.172420345276067644e-02
6.002630902386720000e+15,7.112832775318755907e-01,4.312367448657269500e-19,9.496799959193368121e-06,7.172794751951190595e-02
6.034166902386720000e+15,7.112645589331918483e-01,4.312253961558390243e-19,9.496550035157711573e-06,7.173169138920308663e-02
6.065702902386720000e+15,7.112458413196911522e-01,4.312140480432477448e-19,9.496300124275865138e-06,7.173543506184976160e-02
6.097238902386720000e+15,7.112271246912956757e-01,4.312027005279059744e-19,9.496050226546792048e-06,7.173917853746750173e-02
6.128774902386720000e+15,7.112084090479277032e-01,4.311913536097665760e-19,9.495800341969455534e-06,7.174292181607185015e-02
6.160310902386720000e+15,7.111896943895094081e-01,4.311800072887824607e-19,9.495550470542813746e-06,7.174666489767836386e-02
6.191846902386720000e+15,7.111709807159630747e-01,4.311686615649062504e-19,9.495300612265831610e-06,7.175040778230258598e-02
6.223382902386720000e+15,7.111522680272109875e-01,4.311573164380911452e-19,9.495050767137468969e-06,7.175415046996007351e-02
6.254918902386720000e+15,7.111335563231754309e-01,4.311459719082896709e-19,9.494800935156689055e-06,7.175789296066636958e-02
6.286454902386720000e+15,7.111148456037786891e-01,4.311346279754549791e-19,9.494551116322453405e-06,7.176163525443703117e-02
6.317990902386720000e+15,7.110961358689429357e-01,4.311232846395398366e-19,9.494301310633725252e-06,7.176537735128758755e-02
6.349526902386720000e+15,7.110774271185905659e-01,4.311119419004970579e-19,9.494051518089466132e-06,7.176911925123359570e-02
6.381062902386720000e+15,7.110587193526438643e-01,4.311005997582797468e-19,9.493801738688639277e-06,7.177286095429058488e-02
6.412598902386720000e+15,7.110400125710251151e-01,4.310892582128408141e-19,9.493551972430209614e-06,7.177660246047409820e-02
6.444134902386720000e+15,7.110213067736566028e-01,4.310779172641328821e-19,9.493302219313136986e-06,7.178034376979966491e-02
6.475670902386720000e+15,7.110026019604607228e-01,4.310665769121089099e-19,9.493052479336382929e-06,7.178408488228282813e-02
6.507206902386720000e+15,7.109838981313597595e-01,4.310552371567219048e-19,9.492802752498914065e-06,7.178782579793913099e-02
6.538742902386720000e+15,7.109651952862761082e-01,4.310438979979249222e-19,9.492553038799691930e-06,7.179156651678408885e-02
6.570278902386720000e+15,7.109464934251320534e-01,4.310325594356706807e-19,9.492303338237679757e-06,7.179530703883324483e-02
6.601814902386720000e+15,7.109277925478499904e-01,4.310212214699121393e-19,9.492053650811840777e-06,7.179904736410212818e-02
6.633350902386720000e+15,7.109090926543522038e-01,4.310098841006023535e-19,9.491803976521138222e-06,7.180278749260625426e-02
6.664886902386720000e+15,7.108903937445610888e-01,4.309985473276941380e-19,9.491554315364537017e-06,7.180652742436116620e-02
6.696422902386720000e+15,7.108716958183991519e-01,4.309872111511403075e-19,9.491304667340997006e-06,7.181026715938237936e-02
6.727958902386720000e+15,7.108529988757886775e-01,4.309758755708940620e-19,9.491055032449486503e-06,7.181400669768540912e-02
6.759494902386720000e+15,7.108343029166520610e-01,4.309645405869082162e-19,9.490805410688967045e-06,7.181774603928578471e-02
6.791030902386720000e+15,7.108156079409116979e-01,4.309532061991357773e-19,9.490555802058403559e-06,7.182148518419902150e-02
6.822566902386720000e+15,7.107969139484900944e-01,4.309418724075297045e-19,9.490306206556757581e-06,7.182522413244064874e-02
6.854102902386720000e+15,7.107782209393095352e-01,4.309305392120428126e-19,9.490056624182997426e-06,7.182896288402618179e-02
6.885638902386720000e+15,7.107595289132925265e-01,4.309192066126283977e-19,9.489807054936084631e-06,7.183270143897112214e-02
6.917174902386720000e+15,7.107408378703615748e-01,4.309078746092389857e-19,9.489557498814982429e-06,7.183643979729098517e-02
6.948710902386720000e+15,7.107221478104390755e-01,4.308965432018281617e-19,9.489307955818660826e-06,7.184017795900128622e-02
6.980246902386720000e+15,7.107034587334474240e-01,4.308852123903484032e-19,9.489058425946079667e-06,7.184391592411754068e-02
7.011782902386720000e+15,7.106847706393091268e-01,4.308738821747528622e-19,9.488808909196205571e-06,7.184765369265525004e-02
7.043318902386720000e+15,7.106660835279466903e-01,4.308625525549945459e-19,9.488559405568001770e-06,7.185139126462991577e-02
7.074854902386720000e+15,7.106473973992825099e-01,4.308512235310264134e-19,9.488309915060434883e-06,7.185512864005705325e-02
7.106390902386720000e+15,7.106287122532390921e-01,4.308398951028014240e-19,9.488060437672469837e-06,7.185886581895216396e-02
7.137926902386720000e+15,7.106100280897389432e-01,4.308285672702728256e-19,9.487810973403069863e-06,7.186260280133074940e-02
7.169462902386720000e+15,7.105913449087045697e-01,4.308172400333933848e-19,9.487561522251203276e-06,7.186633958720831106e-02
7.200998902386720000e+15,7.105726627100585890e-01,4.308059133921161572e-19,9.487312084215831611e-06,7.187007617660033654e-02
7.232534902386720000e+15,7.105539814937233967e-01,4.307945873463943907e-19,9.487062659295924879e-06,7.187381256952232733e-02
7.264070902386720000e+15,7.105353012596214990e-01,4.307832618961807556e-19,9.486813247490444615e-06,7.187754876598978493e-02
