# Temperature [sim units], final average spin, convergence
2.000000000000000000e+00,9.836825679012346502e-01,1.000000000000000000e+00
3.000000000000000000e+00,8.826185925925924547e-01,1.000000000000000000e+00
4.000000000000000000e+00,6.838938518518519194e-01,1.000000000000000000e+00
5.000000000000000000e+00,4.880687160493826782e-01,1.000000000000000000e+00
6.000000000000000000e+00,3.504592839506172619e-01,1.000000000000000000e+00
7.000000000000000000e+00,2.506395555555555599e-01,1.000000000000000000e+00
8.000000000000000000e+00,2.096666913580246816e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.929334567901234421e-01,1.000000000000000000e+00
1.000000000000000000e+01,1.553202222222222206e-01,1.000000000000000000e+00
1.100000000000000000e+01,1.412154074074074006e-01,1.000000000000000000e+00
1.200000000000000000e+01,1.070114320987654438e-01,0.000000000000000000e+00
1.300000000000000000e+01,1.140758765432099003e-01,1.000000000000000000e+00
1.400000000000000000e+01,9.605977777777777171e-02,1.000000000000000000e+00
1.500000000000000000e+01,8.962148148148149640e-02,1.000000000000000000e+00
1.600000000000000000e+01,7.890864197530864099e-02,0.000000000000000000e+00
1.700000000000000000e+01,7.968708641975306983e-02,1.000000000000000000e+00
1.800000000000000000e+01,7.646340740740739661e-02,1.000000000000000000e+00
1.900000000000000000e+01,6.343777777777778737e-02,1.000000000000000000e+00
2.000000000000000000e+01,5.767271604938271901e-02,1.000000000000000000e+00
