# Temperature [sim units], final average spin, convergence
2.000000000000000000e+00,9.130744691358025911e-01,1.000000000000000000e+00
3.000000000000000000e+00,-8.164861728395060581e-02,1.000000000000000000e+00
4.000000000000000000e+00,1.623765432098765379e-02,1.000000000000000000e+00
5.000000000000000000e+00,-3.123417283950616699e-02,1.000000000000000000e+00
6.000000000000000000e+00,3.415135802469136412e-03,1.000000000000000000e+00
7.000000000000000000e+00,-1.053980246913580401e-02,1.000000000000000000e+00
8.000000000000000000e+00,-6.607654320987659544e-04,1.000000000000000000e+00
9.000000000000000000e+00,2.587629629629629394e-03,1.000000000000000000e+00
1.000000000000000000e+01,3.414938271604938368e-03,1.000000000000000000e+00
1.100000000000000000e+01,-2.837037037037025184e-04,1.000000000000000000e+00
1.200000000000000000e+01,5.219135802469135159e-03,1.000000000000000000e+00
1.300000000000000000e+01,-6.192987654320988508e-03,1.000000000000000000e+00
1.400000000000000000e+01,8.749456790123457187e-03,1.000000000000000000e+00
1.500000000000000000e+01,-9.711851851851853457e-03,1.000000000000000000e+00
1.600000000000000000e+01,-2.229827160493828495e-03,1.000000000000000000e+00
1.700000000000000000e+01,-3.805925925925925709e-03,1.000000000000000000e+00
1.800000000000000000e+01,6.217604938271606083e-03,1.000000000000000000e+00
1.900000000000000000e+01,-1.324246913580246670e-03,1.000000000000000000e+00
2.000000000000000000e+01,5.715111111111110045e-03,0.000000000000000000e+00
