# Temperature [sim units], final average spin, convergence
2.000000000000000000e+00,-9.205205432098767515e-01,1.000000000000000000e+00
3.000000000000000000e+00,-3.003590123456790356e-02,1.000000000000000000e+00
4.000000000000000000e+00,1.496659259259259557e-02,1.000000000000000000e+00
5.000000000000000000e+00,-1.229064197530864433e-02,1.000000000000000000e+00
6.000000000000000000e+00,-5.340370370370371191e-03,1.000000000000000000e+00
7.000000000000000000e+00,2.965925925925931420e-04,1.000000000000000000e+00
8.000000000000000000e+00,-1.648493827160493535e-03,1.000000000000000000e+00
9.000000000000000000e+00,-6.335802469135750508e-05,1.000000000000000000e+00
1.000000000000000000e+01,-1.457456790123456969e-02,1.000000000000000000e+00
1.100000000000000000e+01,2.997777777777779870e-04,1.000000000000000000e+00
1.200000000000000000e+01,-1.444444444444455491e-04,1.000000000000000000e+00
1.300000000000000000e+01,4.311679012345678852e-03,1.000000000000000000e+00
1.400000000000000000e+01,6.541728395061730851e-04,1.000000000000000000e+00
1.500000000000000000e+01,-3.751703703703704578e-03,1.000000000000000000e+00
1.600000000000000000e+01,3.060987654320985454e-04,1.000000000000000000e+00
1.700000000000000000e+01,-4.917802469135802018e-03,1.000000000000000000e+00
1.800000000000000000e+01,-3.925061728395063537e-03,0.000000000000000000e+00
1.900000000000000000e+01,2.143259259259260117e-03,0.000000000000000000e+00
2.000000000000000000e+01,-8.952839506172838649e-03,0.000000000000000000e+00
