# Autocorrelation time, Mean absolute spin, energy per spin, magnetic susceptibility,specific heat susceptibility, and their standard deviations per temperature.
1.210336120517107929e+03,5.612037915379471720e+00,9.940026553932941322e-01,4.373011308967102661e-04,-3.964687790469503259e+00,2.518623681580022672e-03,6.120144431023266662e-03,2.689545195495857566e-03,1.020751548696102462e-01,4.175183316138909168e-02
7.612889942057876169e+02,2.320877551191808941e+00,9.546787807470044074e-01,1.072778536718863723e-03,-3.742329570488348800e+00,5.841288347660548823e-03,2.672080822668676525e-02,1.252013772492737917e-02,2.638128196775085810e-01,1.104195169148400046e-01
9.382223210434923431e+02,3.208729448325084999e+00,8.610376410224526156e-01,2.198626218656010364e-03,-3.253558673186156103e+00,1.064615304185945188e-02,8.227615723665843150e-02,3.524541782607399504e-02,4.805861078633849037e-01,1.974668428969794109e-01
2.039089243363120204e+03,4.915732103306896583e+00,7.236172677169080414e-01,3.019321689907848456e-03,-2.607916174121174713e+00,1.328532905786821566e-02,1.223821936731475102e-01,2.246413751143190932e-02,4.748112753716070000e-01,7.089561836303001630e-02
2.142217584387496117e+03,1.743879760589539885e+01,5.922162282719304338e-01,3.767817681093372801e-03,-2.044191330524053551e+00,1.476693286083759389e-02,1.575366529830654616e-01,2.927182133734308744e-02,4.058582769519086253e-01,8.976956499549622326e-02
1.083103081602283737e+03,2.818825951436682242e+00,4.950666653843318055e-01,3.802961645327577935e-03,-1.654500104189708498e+00,1.413870677175140325e-02,1.384358637711873841e-01,5.174901195718425301e-02,2.729012468217628107e-01,9.543265509327217289e-02
7.313030270375387545e+02,1.251396534222868118e+00,4.102740101969208353e-01,4.060866916079567887e-03,-1.339168387836245255e+00,1.406347742077670472e-02,1.380334492694874349e-01,5.492880899484540308e-02,2.097197272591123096e-01,7.978459073684937564e-02
6.321477827057060495e+03,6.684299998286823552e+01,3.458762671078439710e-01,4.239360690557907041e-03,-1.109017715753690458e+00,1.413934914341431412e-02,1.411030712238345308e-01,2.194907638121402702e-02,1.746331812626795987e-01,2.971417463525791516e-02
1.015078946010980985e+03,2.814493539287493462e+00,2.951001539988739042e-01,4.509867389306100247e-03,-9.333802376549479307e-01,1.436809359185061731e-02,1.304632642564358957e-01,4.504232399318108815e-02,1.323690188850824567e-01,4.452082905743417335e-02
7.760854070387841830e+02,2.338321987377588229e+00,2.661995905321292710e-01,4.152597494847145090e-03,-8.304445088712072431e-01,1.289683385267773909e-02,9.719145206333412723e-02,1.888244496320090962e-02,8.475461689017040057e-02,1.935518855436165614e-02
9.541215156687984518e+02,3.750263913968504781e+00,2.367154030578155210e-01,4.371306597599990476e-03,-7.372115738739170032e-01,1.300931747493637783e-02,1.026136950132722631e-01,4.098031575552848332e-02,7.386138032280073484e-02,2.643657091163650885e-02
1.028890354432222239e+03,2.855070603468357504e+00,2.155292594639944270e-01,4.263219222741005711e-03,-6.536385731805515187e-01,1.257285909171478727e-02,9.009901894041714987e-02,2.456714397785146262e-02,5.949973587413400627e-02,1.729618716817089494e-02
7.807600020252949662e+02,1.699473429871346752e+00,1.865390472124381638e-01,3.980022834220292398e-03,-5.811936172483724850e-01,1.170459418598050402e-02,7.889516304797994373e-02,2.102431214320112790e-02,4.756382747902596769e-02,1.344374860282135549e-02
8.228506014689234007e+02,2.667912488527169224e+00,1.715295616911202692e-01,4.360646818202889262e-03,-5.268040121698547296e-01,1.282496378446233536e-02,7.929714256703650210e-02,1.770099991220633329e-02,4.595208893293709074e-02,1.180239131788216565e-02
5.532859703432736751e+02,1.177879321923590128e+00,1.629475496914835342e-01,4.064131466965519544e-03,-5.025109574804572654e-01,1.129443899456784688e-02,6.597815277334515005e-02,2.418417469925039295e-02,3.289689292615018135e-02,9.896526297209280731e-03
8.191918762139993078e+02,4.965524477813358928e+00,1.476416747412940267e-01,3.995825139300807592e-03,-4.644064830992328252e-01,1.125912016333829174e-02,5.850696064566311000e-02,2.279747818178490953e-02,2.716858714901053407e-02,8.596783762835541465e-03
8.073363233155989747e+02,2.637711610592508915e+00,1.436474020857633205e-01,4.446221600245744802e-03,-4.345318730925518680e-01,1.260555770071413242e-02,7.271289900268915196e-02,1.549526383455002154e-02,3.250342514537374328e-02,6.848619261107123136e-03
5.621989840270783816e+02,5.037954047188264006e+00,1.232440738681983977e-01,4.673174008949456185e-03,-3.831548391081464611e-01,1.253794034550701104e-02,6.326375958275497202e-02,1.961514780086273668e-02,2.341118471524716860e-02,7.375183657373588289e-03
9.811028960193335706e+02,5.771801833183999975e+00,1.230653571870963109e-01,3.745652286403823323e-03,-3.720130947957034362e-01,1.047036550951991642e-02,4.884165027408309684e-02,1.069567154104754912e-02,1.906116591635876115e-02,4.880034327718287511e-03
