# Temperature [sim units], final average spin, convergence
2.000000000000000000e+00,-9.953776296296296122e-01,1.000000000000000000e+00
3.000000000000000000e+00,-9.549231604938271945e-01,1.000000000000000000e+00
4.000000000000000000e+00,-8.570096049382717185e-01,1.000000000000000000e+00
5.000000000000000000e+00,-7.326007901234568020e-01,1.000000000000000000e+00
6.000000000000000000e+00,-6.040718765432097070e-01,1.000000000000000000e+00
7.000000000000000000e+00,-4.813361234567901659e-01,1.000000000000000000e+00
8.000000000000000000e+00,-4.084435061728394767e-01,1.000000000000000000e+00
9.000000000000000000e+00,-3.507430123456790061e-01,1.000000000000000000e+00
1.000000000000000000e+01,-3.001432345679012070e-01,1.000000000000000000e+00
1.100000000000000000e+01,-2.651201234567900911e-01,1.000000000000000000e+00
1.200000000000000000e+01,-2.197073086419753518e-01,1.000000000000000000e+00
1.300000000000000000e+01,-2.100409876543209708e-01,1.000000000000000000e+00
1.400000000000000000e+01,-1.981065925925926119e-01,1.000000000000000000e+00
1.500000000000000000e+01,-1.834697777777777594e-01,1.000000000000000000e+00
1.600000000000000000e+01,-1.597171358024691290e-01,1.000000000000000000e+00
1.700000000000000000e+01,-1.479221481481481359e-01,1.000000000000000000e+00
1.800000000000000000e+01,-1.393984691358024774e-01,1.000000000000000000e+00
1.900000000000000000e+01,-1.278112098765432081e-01,1.000000000000000000e+00
2.000000000000000000e+01,-1.220358518518518398e-01,0.000000000000000000e+00
