# Temperature [sim units], final average spin, convergence
2.000000000000000000e+00,-9.949490123456788959e-01,1.000000000000000000e+00
3.000000000000000000e+00,-9.518887160493827437e-01,1.000000000000000000e+00
4.000000000000000000e+00,-8.566617777777779663e-01,1.000000000000000000e+00
5.000000000000000000e+00,-7.191663703703703447e-01,1.000000000000000000e+00
6.000000000000000000e+00,-6.032705679012345668e-01,1.000000000000000000e+00
7.000000000000000000e+00,-5.001653086419752814e-01,1.000000000000000000e+00
8.000000000000000000e+00,-4.106507160493826913e-01,1.000000000000000000e+00
9.000000000000000000e+00,-3.459960740740740670e-01,1.000000000000000000e+00
1.000000000000000000e+01,-3.070381481481482266e-01,1.000000000000000000e+00
1.100000000000000000e+01,-2.619226913580247063e-01,1.000000000000000000e+00
1.200000000000000000e+01,-2.326763209876543392e-01,1.000000000000000000e+00
1.300000000000000000e+01,-2.148008888888889023e-01,1.000000000000000000e+00
1.400000000000000000e+01,-1.889624444444444329e-01,1.000000000000000000e+00
1.500000000000000000e+01,-1.683239753086419876e-01,1.000000000000000000e+00
1.600000000000000000e+01,-1.592559506172839257e-01,1.000000000000000000e+00
1.700000000000000000e+01,-1.442917530864197551e-01,1.000000000000000000e+00
1.800000000000000000e+01,-1.377790370370370610e-01,1.000000000000000000e+00
1.900000000000000000e+01,-1.261978271604938251e-01,1.000000000000000000e+00
2.000000000000000000e+01,-1.229829382716049330e-01,1.000000000000000000e+00
