# Autocorrelation time, Mean absolute spin, energy per spin, magnetic susceptibility,specific heat susceptibility, and their standard deviations per temperature.
2.621530736162752873e+03,7.487316104339982736e+00,9.841555162971422632e-01,7.025117731586088144e-04,-2.924275469028105867e+00,3.247178548508598654e-03,1.632036040053241877e-02,3.501866940498316559e-03,1.754933645651003127e-01,3.835801739396692972e-02
1.547584533456654526e+03,4.645373743710415226e+00,8.801233740242351278e-01,2.377675195670342877e-03,-2.486887756292550655e+00,9.029989848948958425e-03,1.254469484286335756e-01,4.129332605504974774e-02,6.090576366209023984e-01,2.035349364974482766e-01
1.503216330727891091e+03,4.682792292501924969e+00,6.714731613029000235e-01,4.096940125568463917e-03,-1.767237354229408641e+00,1.218945830785608288e-02,2.654304638074279632e-01,9.192533370808282644e-02,6.087195819114794570e-01,2.329458839048637320e-01
1.334726987474328416e+04,1.224197946573170981e+02,4.830328909517339064e-01,4.911199238630411211e-03,-1.218542467457695011e+00,1.232233087878892124e-02,3.434542074011773249e-01,4.171043047509952195e-02,4.336629452748773095e-01,4.499710192010780013e-02
1.935790270987020904e+03,3.821572059975992364e+00,3.512715832145002492e-01,5.131469070355279376e-03,-8.778715096725591138e-01,1.113376390082827100e-02,3.059284612344103094e-01,7.726347445595294072e-02,2.418445597384046020e-01,5.746351251370804963e-02
1.014774970471291226e+03,1.852734668241569516e+00,2.784650075482905662e-01,5.024318449875460509e-03,-6.884337057521668912e-01,1.080402894914622713e-02,2.413497270900775982e-01,7.122285780249226761e-02,1.624143719708277811e-01,5.614255836515241738e-02
1.465101300950896757e+03,6.033834049894492679e+00,2.215115263291361769e-01,4.729125930177306529e-03,-5.528744131371948756e-01,9.941812856690287678e-03,1.972935418288924714e-01,6.283240646498824966e-02,1.074534914350256248e-01,2.917691291732756390e-02
1.210494232310671123e+03,2.266635404303044332e+00,1.840274522087634590e-01,4.565227963891365856e-03,-4.555930863483605986e-01,8.568431212133643601e-03,1.631994444400404753e-01,5.916830282232283383e-02,6.319439592587933197e-02,1.923229543618772130e-02
7.783261978005390347e+02,1.450268147283417797e+00,1.632098745604619316e-01,5.006144189954572603e-03,-4.143981998235156117e-01,9.405902472679576742e-03,1.679859461363173712e-01,5.793579800009211744e-02,5.938767951583545646e-02,1.275008920771332314e-02
6.561584004197726472e+02,8.241930300066897530e-01,1.390614019490800657e-01,4.649854844720423090e-03,-3.548011125504838548e-01,8.650715078114891085e-03,1.108348487672713850e-01,4.299602264828891046e-02,3.999002668998945936e-02,1.324414366342513069e-02
1.370499466934477141e+03,8.272355528956214954e+00,1.198540259903460997e-01,4.712160067676955146e-03,-3.011525704052998575e-01,8.362856590736364448e-03,1.170488576493723815e-01,2.470551202735729243e-02,3.090197006769653670e-02,5.933682466066163980e-03
1.303451613162639660e+03,5.148661064395388287e+00,1.065158162751557308e-01,4.497020022303428212e-03,-2.863694944854948687e-01,8.020177292517454565e-03,1.084794520774580440e-01,3.102330382007777165e-02,2.644860953459486977e-02,5.755768306760326858e-03
1.558637574953387002e+03,1.277638621014051523e+01,9.497774266862527015e-02,4.506220788327888228e-03,-2.618997972312780420e-01,7.900663147178296070e-03,9.989952106879794458e-02,2.861130903432313258e-02,2.211532083959896061e-02,5.195249214276278019e-03
6.090479763008191867e+02,3.029591316454300465e+00,8.417765280827900487e-02,3.985451776001095944e-03,-2.332327876179855763e-01,7.191719911436651042e-03,6.870343961093337837e-02,2.190582658817218087e-02,1.588718708146245537e-02,5.243528309108805296e-03
7.324964939929357115e+02,3.813138003737735815e+00,8.311637855025967581e-02,4.364395830678840030e-03,-2.151064959394452802e-01,7.761374749717291424e-03,8.447864479395829351e-02,2.075112380839001791e-02,1.649632232524212566e-02,2.742949814774801182e-03
6.743270702523301452e+02,1.897356393246325545e+00,7.435862738010275141e-02,4.362416558657519587e-03,-2.030768707924355543e-01,7.632321830434098293e-03,7.674831098368968541e-02,2.125134528028164646e-02,1.356898230082405343e-02,3.694160397783556246e-03
8.724210423722528276e+02,4.279611081793937899e+00,7.055524511372519847e-02,4.142450905924618954e-03,-1.925877316572658648e-01,6.964983463897199412e-03,6.549021876367697170e-02,1.416161692512046648e-02,1.056903690564326564e-02,2.253522786067912141e-03
4.721348290968280708e+02,2.659246295640981916e+00,6.138863883740768718e-02,4.253480403317946336e-03,-1.774262936486923903e-01,7.198726030044160645e-03,5.356236786461499033e-02,1.878966717368156514e-02,9.088249654879389933e-03,2.205067722630035896e-03
6.587095572376774726e+02,1.413632578789264960e+00,6.263576826408920328e-02,3.942678866335598553e-03,-1.706258750400620472e-01,7.103601667505345454e-03,5.099493183274275004e-02,2.462670784921756895e-02,8.343532989339864231e-03,1.898953643319944073e-03
