# Temperature [sim units], final average spin, convergence
2.000000000000000000e+00,9.835780246913580216e-01,1.000000000000000000e+00
3.000000000000000000e+00,8.824867160493826690e-01,1.000000000000000000e+00
4.000000000000000000e+00,6.858206419753085648e-01,1.000000000000000000e+00
5.000000000000000000e+00,4.709750864197530529e-01,1.000000000000000000e+00
6.000000000000000000e+00,3.466355802469135439e-01,1.000000000000000000e+00
7.000000000000000000e+00,2.760634567901234515e-01,1.000000000000000000e+00
8.000000000000000000e+00,2.224895061728395240e-01,1.000000000000000000e+00
9.000000000000000000e+00,1.802979259259259170e-01,1.000000000000000000e+00
1.000000000000000000e+01,1.579994320987654355e-01,1.000000000000000000e+00
1.100000000000000000e+01,1.332714074074074218e-01,1.000000000000000000e+00
1.200000000000000000e+01,1.203818024691358235e-01,1.000000000000000000e+00
1.300000000000000000e+01,1.084464197530864149e-01,1.000000000000000000e+00
1.400000000000000000e+01,8.630558024691356578e-02,1.000000000000000000e+00
1.500000000000000000e+01,9.046350617283951956e-02,1.000000000000000000e+00
1.600000000000000000e+01,8.270064197530864469e-02,1.000000000000000000e+00
1.700000000000000000e+01,7.771520987654322032e-02,1.000000000000000000e+00
1.800000000000000000e+01,7.181730864197531650e-02,1.000000000000000000e+00
1.900000000000000000e+01,7.340288888888889252e-02,1.000000000000000000e+00
2.000000000000000000e+01,6.074812345679012765e-02,1.000000000000000000e+00
