# Temperature [sim units], final average spin, convergence
1.000000000000000000e+00,9.986771358024690848e-01,1.000000000000000000e+00
1.100000000000000089e+00,9.988008641975305579e-01,1.000000000000000000e+00
1.200000000000000178e+00,9.969678024691358553e-01,1.000000000000000000e+00
1.300000000000000266e+00,9.948312592592591930e-01,1.000000000000000000e+00
1.400000000000000355e+00,9.916976296296298177e-01,1.000000000000000000e+00
1.500000000000000444e+00,9.876594567901234578e-01,1.000000000000000000e+00
1.600000000000000533e+00,9.802261481481481242e-01,1.000000000000000000e+00
1.700000000000000622e+00,9.714416296296296549e-01,1.000000000000000000e+00
1.800000000000000711e+00,9.539358765432098819e-01,1.000000000000000000e+00
1.900000000000000799e+00,9.362120246913581134e-01,1.000000000000000000e+00
2.000000000000000888e+00,9.117407654320989208e-01,1.000000000000000000e+00
2.100000000000000977e+00,8.884036790123458482e-01,1.000000000000000000e+00
2.200000000000001066e+00,8.004070370370369725e-01,1.000000000000000000e+00
2.300000000000001155e+00,6.494528148148148716e-01,1.000000000000000000e+00
2.400000000000001243e+00,-6.419757530864197426e-01,1.000000000000000000e+00
2.500000000000001332e+00,2.281509135802469168e-01,1.000000000000000000e+00
2.600000000000001421e+00,-1.209667407407407358e-01,1.000000000000000000e+00
2.700000000000001510e+00,8.146790123456783966e-03,1.000000000000000000e+00
2.800000000000001599e+00,-4.854029629629628279e-02,1.000000000000000000e+00
2.900000000000001688e+00,7.494790123456791971e-03,1.000000000000000000e+00
3.000000000000001776e+00,1.237135802469135556e-02,1.000000000000000000e+00
3.100000000000001865e+00,-2.450429629629629139e-02,1.000000000000000000e+00
3.200000000000001954e+00,-5.533130864197530197e-02,1.000000000000000000e+00
3.300000000000002043e+00,-2.391886419753086121e-02,1.000000000000000000e+00
3.400000000000002132e+00,1.044548148148148094e-02,1.000000000000000000e+00
3.500000000000002220e+00,3.580004938271605375e-02,1.000000000000000000e+00
3.600000000000002309e+00,2.862150617283950801e-02,1.000000000000000000e+00
3.700000000000002398e+00,-1.360345679012347217e-03,1.000000000000000000e+00
3.800000000000002487e+00,-4.325802469135802374e-03,1.000000000000000000e+00
3.900000000000002576e+00,-3.645469135802469063e-02,1.000000000000000000e+00
4.000000000000002665e+00,-3.275743209876542938e-02,1.000000000000000000e+00
4.100000000000003197e+00,1.562296296296296436e-03,1.000000000000000000e+00
